User,Bio,Country
craig-hor,,united-states
elysias,,united-states
maxwell.fader,,united-states
elza.sm,,south-africa
midnight.rum,,canada
maxwang7,,sweden
shigeki.n,,japan
elzelene.van-der-walt,,south-africa
craig-bev,,australia
em.jeffers,,united-states
emerson-bet,,united-states
courtney.hans,,united-states
courtney.cot,,united-states
emet.schneiderman,,united-states
emil.esselin,,sweden
shisty.monacko,,canada
koen-t,,belgium
rod.potter,,south-africa
emil.ryden,,sweden
emil.solman-walsten,"Young chef, instagram: emilmatovin",sweden
rod.hir,Avid wine man from the time I could legally  Always looking for new delights,australia
emil_bau,,united-states
emile-d,,south-africa
emile.jones,,united-kingdom
emile.saad,,united-states
koen.schoot,,spain
emilia-trollmane,I am creating a personal cellar with broad wine varieties and therefore I love trying out new styles,sweden
emilia.dh,,united-states
rocky.mahendru,,viet-nam
shirleys0,,united-states
costa_tr,,canada
shirley.schwartz,,canada
maximilian.schuckert,,germany
emi.be,"I get to talk about wine all day, everyday. Wine about it!",united-states
shiraz.bugwadia,,india
kobus_st,Love wine 🍷 and spending time with friends sharing wine.  Love living life!!!,south-africa
koby.howards,"Spanish wine advocate 🥂🤠
Wine rep for the Harvest Wine Co in Northern Colorado",united-states
shirishs,,united-states
rodericke,,australia
shirley-ri,,united-kingdom
costin.s.,,canada
shirley-tam,,hong-kong
shirley.cog,,peru
courtland.kunz,,united-states
shirley.liz,,united-states
maximilian.melamed,,united-states
emil-lindqvist,,sweden
rodolfo_sald,"Wine enthusiast, red lover and white friendly ;)",portugal
craig-ole,,united-states
ely.vondoom,,united-states
klaus_f,,denmark
elliott_be,Love good food and wine,united-states
craig.stub,,united-kingdom
sheri.wal,,united-states
sheri.zinn,,south-africa
ellococonejo,,denmark
elly.ruge,,canada
ellyn.bramley,,united-kingdom
elma.kang,,united-states
rodrigo.lio,Tasting wines from all over the world. 🌎 🍷,united-arab-emirates
kang-lee3,,korea-south
rodrigo.har,,brazil
rodrigo.grot,Bon Vivant,brazil
craig.pul,,australia
mickey.finn1,,italy
sherlockq,,united-kingdom
craig_add,,united-kingdom
craig_barto,,united-kingdom
craig_benn,,united-states
elliot.molk,,united-states
kaori.tani,loving Cabernet Sauvignon,japan
shellys4,,united-states
rodrigo_castaneda,,united-states
rodrigo_cabr,,guatemala
maya_bu,,united-states
rodrigo_arroy,,ecuador
craig_mcdonald2,,australia
elliott.du,,united-states
craig_malc,,canada
craig_lewis,,canada
rodrigo.vinicius,,brazil
sheng-zhao-.men-jing-,,japan
sheraim.mascal,,cayman-islands
elliott.courcha,,united-kingdom
klaus_dy,,netherlands
elmien.s,,south-africa
craig-parker5,,south-africa
craig.oda,big lover of red for over 25 years...dont like          white. ...,united-kingdom
craig.coetzer,,south-africa
may.kim7,,united-states
craig.ble,,south-africa
craig.ban,,united-states
kmxs,,sweden
elvar-t,,iceland
rodrigo-do-espirito-santo,,norway
elvin.heinla,,estonia
elvin_r,,united-states
elvinz,,japan
craig-terence-edwardb,,united-kingdom
kamrane,"Plastic Surgeon, Wine Enthusiast",turkey
craig-sinclair,,united-kingdom
craig-sherman,,south-africa
craig-por,,ireland
elton.cherry,,united-states
kanako-na,,japan
rodrigo-nava,"Wine lover, advanced drinker!",united-states
eloy-n,Cheers!,brazil
elmo.lincoln,,united-states
elnatha,,russia
klausjensen1,,denmark
eloise.james,,united-kingdom
rodrigo.cavad,,chile
eloy-m,,netherlands
craig.line,Enjoy wine from all over the world. Always looking for something a bit different.,new-zealand
kloude.faraj,,united-states
els-vr,,netherlands
rodrigo.barletta,,brazil
sherry-ba,Let us celebrate the occasion with wine and sweet words--Plautus,united-states
craig.hawthorn,"Chef, Wine Drinker, WSET 1 ",united-kingdom
rodrigo-vice,Looking for experiences in the wine world!,belgium
rodrigo-sala1,,united-states
karen-mizi,,australia
roger_va,,netherlands
kim.yong-geun,,korea-south
dale.vo,,united-states
kimberly.macl,,united-states
ron-bonn,,malta
kimberly.morey,,canada
dale.greene,,canada
elaine.lam5,,malaysia
dale.el,What to remember about Wine-drink what you like.  I DO.,united-states
karenz5,,united-states
romuald.dziaslo,,poland
shannon.doy,,united-states
kimberly.vanderburg,,canada
shannon.ker,"Drunk wine reviews=entertaining, grape poetry",united-states
dale-bry,,united-states
shannon.kul,,canada
shannon.lotz,,south-africa
shannon.marjorie,,united-states
michelle.holierhoek,,portugal
ron-gauthier,,kazakhstan
dalvertp,,united-states
dale_hall,,canada
dallas.kruszelnicki,,canada
kimberly.doyle,,united-states
kari.mattila,,finland
ron-schu,,united-states
shannon-carlson,,united-states
dalice.marriott,,germany
shannon-d3,,canada
meaghan.bo,,united-states
meaghan-mc,,united-states
michelle.gronlund,,aland-islands
shannon-hwang,,united-kingdom
dalep1,,united-states
dale_ti,,united-states
meagen.herr,,south-africa
shannon-lo,,united-states
eldar.dadon,,israel
daisy-lip,,united-kingdom
mead0ecb2084efcc44073245beade1af,,china
michelle.lovely,,canada
dahye_jung,,korea-south
me60106b2e5df2073e79f96b54b79336,,united-states
dagonf,,united-kingdom
roman.velingard,,israel
elena-aleshina,,belgium
dag-ru,,norway
shannon_w5,"Raising chickens, growing veggies and drinking wine on Vancouver Island 🍷 WSET level 1",canada
dag-frode.sundem,,norway
shannonhall6,,united-states
karen_macd,,canada
me203d2cb4eda17908e1260c31ab261e,,united-states
kimov,,united-states
daeun.choi,,korea-south
karen_hendrix,,united-states
karen_hardi,,united-states
romana.chavers,,united-states
romana.stachovic,,czech-republic
kiml4,,united-states
me90426afb83be741a8992af34bafb90,,korea-south
me9de2a3853fb145b7ffccdbb63fa62b,Wino and bourbono 🤓,united-states
daisuke.kitamura,,japan
kimgammelgaard,,denmark
me9a96dd9a8950ba467d22e50c222826,,united-states
daiseocd,,korea-south
michelle.lucc,,united-states
romanou,,costa-rica
michelle.mack,,united-states
dain.downs,,canada
daimon.haywood,,united-kingdom
daibhidhs,,united-kingdom
romanit,,russia
dai.khan,,united-states
dai.jones1,"Dai Jones here, the Welsh Wine Guy. 

I'm using Vivino to review my wines.

#divorcee",united-kingdom
kimberly.doetsch,,united-states
el-mariev,,south-africa
roger_van-s,,netherlands
karin.manl,,united-states
shane-cam,Simple wine lover,canada
ron_dou,,canada
eimear.dor,,ireland
shane-cos,,ireland
dan-farmer,,united-states
shane-gi,"Cabernet Sauvignon Fan, just honest comprehensive reviews and love for wine.",trinidad-and-tobago
dan-eames,,united-kingdom
dan-dinu3,,romania
karin.jansen,,netherlands
dan-dai,I'm a hairstylist in Virginia ,united-states
shane-pars,,australia
kim_moller-,,denmark
ron.wess,,netherlands
einar_sa,,norway
kim_purcell,,canada
dan-harpe,,united-states
dan-jenn,,united-states
ekini,,turkey
dan-johnson12,,united-states
dan-pfe,,united-states
dan-perlman,"Chef, Advanced sommelier, Food/wine/travel writer ",argentina
michelle.anisseh,"Travelling the world, one sip at a time!",australia
shan.buchan,,united-kingdom
eileen.chan,"Sommelier The Cheshire Cat Pub
WSET 3
",canada
michelle.astrid,,united-states
dan-nash1,,united-kingdom
karin.sommers,,united-states
kim_colb,Wine buyer for a retail store & wine enthusiast.,united-states
dan-llo,,united-kingdom
dan-le-,,south-africa
dan-kola,,united-states
eileen_ly,,united-states
ron_katz,,united-states
michelle.berdigan,"""In Vino 
Exploring the world through wine. Very partial to 🇧🇪🇨🇦🇫🇷",canada
kim_sang-hyun,,korea-south
meett,,united-kingdom
damon.travis,,united-states
shane.chr,,australia
mee784f6328d24575db114233994e014,,united-states
medik,,norway
ron.hind,,united-states
damiano.cos,,switzerland
ron.hadley,,united-states
damian_kil,,united-kingdom
damian.trad,,australia
damian.sosenkiewicz,Kraina Serów Łódź Manufaktura ,poland
mebb0b7aec70d463c483107b6fa1413f,,united-kingdom
ron.decker,,united-states
shane_wilk,Food and wine lover. Mostly £10-20 bottles plus the occasional restaurant splurge.,united-kingdom
damian.fuller,,united-kingdom
damian-mor,Wine tastes better when you drink it with friends,puerto-rico
kimberly.bishop,,united-states
ron.bensdorp,,new-zealand
karim.hakam,,japan
ron.jacob1,,united-states
michelle.coh,"Accountant (an atypical one for sure), not a wine pro, just a wine tracker!",united-states
kimakaze.knight,,canada
kim_stella1,,korea-south
karin-vr,,netherlands
ron.ombaka,,united-kingdom
kim_water,,united-states
kim_yoon,,united-states
ron.massi,,united-states
kimb24,,canada
shane.rouget,Took a wine appreciation class once. Sauv Blanc fan,united-kingdom
michelle.cheng7,,united-states
damien.wood,,australia
karin-andersson,,sweden
damien.mah1,,singapore
michelle.cinq,,united-states
ej_k2,White>Rose>Red ,kenya
roman.polosin,,russia
shanu.mathew,,united-states
elena.chekunova,In vino veritas 🍷 🍷,russia
shaun.trosello,,south-africa
karen.cooper6,,united-kingdom
rohith.c,,united-kingdom
d066aee4622d337494f3308f28d3bd47,,brazil
shauna.low,"University student
Lvl 1 Wset
Overall lover of wine
Hoping to learn more",canada
shauna.pe,,united-states
rohit-pu,,united-states
shauna.stam,,united-states
karen.bux,,united-states
shaunal0,,united-states
shaunt.g,,korea-north
mcj4fj8grqq2qmvqd1s8bng,,finland
d.r194,,ireland
kirsi.rosenqvist,,finland
rohan.maitra,,united-states
eliza.derrey,,united-states
d0c1e048d77ec3b6ef3c11c1135eef70,,malaysia
michelle_rodrigu,,united-states
elena.coman,dreaming of the democratization of wine.,romania
d1e8bf574fd4cb838505f01cc7aa78ee,,united-kingdom
kirill_ad,,russia
michelle_mario,,united-states
d304d4b797a7e391c71a9f33514bb0a8,,belgium
d2f7b18ee6065de68cdbaf6174df774c,,united-states
d2d6fa3cbb89b156d99527899f014e2c,,netherlands
d2b8fb54abd76fe18a18ec9023241b19,,united-states
roland-de-,Wine & Spijs liefhebber / C&B professional,netherlands
elisabeth.spo,,netherlands
d26dee0e5d1efbb60aa3d07e0613a10d,,united-kingdom
michelle_parr,,united-kingdom
d2497a2a56c69c6c649657969751a314,,denmark
kirillivanov0,,russia
elisabeth_sy,,united-kingdom
d21db5c8f9c914e5467727a39cac3fae,,denmark
d1fb6cebf3ee5c28e474733dce5205c5,Cab Sav for President,united-states
karen.beker,,netherlands
kirsten-barendregt,,portugal
d.j..trainor,,united-states
karen.bascon-c,,germany
kirsten.lei,Just an Alaskan girl who loves her champagne and wine!,united-states
elizabeth.bachrad,,united-kingdom
elizabeth.barn,,united-states
elizabeth.bogl,,united-states
mcb8b0304379a55407e1f1650589df03,,ireland
cyun,Just a regular guy drinkin’ wine,united-states
cyrus.todiwala,,united-kingdom
cyrille.b,,netherlands
rogerhuang2,,taiwan
michiel-buu,,netherlands
cyril.ramauge,,netherlands
elizabeth.dolan1,,ireland
cyril.maurel,,australia
elizabeth.feiber,,united-states
kirstenh4,,netherlands
elizabeth.ave,,united-states
elizabeth-wilk,,united-states
d-b341,,canada
rogier.verheijen,,netherlands
d.f,,united-states
d.d45,Hello. In paris,france
michelleh6,,canada
elizabeth-a1,,united-kingdom
rogier_van,,netherlands
rogier_bo,Never stop learning.,netherlands
rogier.van-dam,,netherlands
rogernelson0,,united-states
d-r.thomson,,united-kingdom
d-n115,,sweden
karen-williams10,,united-states
elizabeth-johnso,"Recreational wine quaffer, attempting to be a bit more adventurous. 😊🍾🍷🍇",united-kingdom
michelleo0,,united-states
shawn.cru,,united-states
elisa.wright-wilkosz,,united-states
roland.at,Wine Passionato - WSET 2,canada
d3b3d973a625d4705bd22d95604b01ef,,korea-south
michelle.stark,,united-states
mdgocylylsdobrzoeeemh-q,,united-states
karen.wallace,,united-states
eleni.nikolou,,greece
d_k3,,united-states
d_k112,,united-states
romain_ha,Oenophile parcourant les vignobles à la recherche de nouvelles saveurs.,france
michelle.savag,,united-states
d9ac228f51e16e8d9f7197ad47d92bc5,,ireland
romain.bal,,france
eli.gav,,united-kingdom
d939767bd01f2d29398d983d07171c8b,,united-states
michelle.spel,,united-states
karen.prest,,united-states
rollins,,united-kingdom
d8dbbb59f1d18157f6691548297e518c,,spain
michelle.rand,,united-states
elena.vokhmiakova,,russia
sharon-laws,,united-kingdom
king.kalu,,nigeria
roman.moraw,It’s only ,netherlands
elena.goul,,canada
me.harley,,united-kingdom
shari-buc,,united-states
dac468511cbaecba20403f689611e9fb,https://instagram.com/thirstypalate?r=nametag,india
shari-fi,,united-states
daan.van-he,,south-africa
mdkecat3rrzm6vo-n35g_iq,,united-arab-emirates
daan.kitschmann,,netherlands
elena.monr,,united-states
elena.poltorak,,ukraine
kingmob,,italy
roman.bor,Visual Artist,thailand
michelle.penni,,united-states
kiren.pandya,,united-kingdom
md5vbrzz9sdk8nlv9sxvw-a,,united-kingdom
d3e320300975c6123b15b7e45e3d094d,,germany
rolize.joubert,,south-africa
d586db38cfa558ff7b7fa3447c728855,"Traveler, foodie, wine lover",taiwan
karen.jesernig,,united-states
d542ab15c1b2c0d3680305844d569b4e,,united-states
michelle_goo,Food and wine...wine and cheese...wine and wine...why not?!?,united-kingdom
d4v3,"Wine, Whiskey, Liberty.",united-states
kirill.lebedev,"Like:
Aglianico, Agiorgitiko, Xinomavro, Цимлянский черный, Petit Verdot, Tannat",russia
elio.et,,japan
elis.taal,,estonia
d4685590390b5fba687234560c44878f,,united-states
shaun.d-junior,,malaysia
shaun.darragh,,canada
d455d70be39d0e12512b9e5fc592ffbc,,united-states
shaun.fahy,An Everyman Wine Enthusiast. Motor-homing and wine discovery along the way.  ,united-kingdom
d43cb40b35bf2c07b96c061e70f1e299,,united-states
d433927c7a76b62258c06151c9c4562f,Wine importer-Luxury Food importer-committed to sucking the marrow out of life---,united-states
d59c1373bae9cc213b2e4166cba0298b,,united-states
elin.darup,,norway
sharoz.makarechi,,united-states
d767c1cdeb6695026ae7a48cb7f48d42,,bulgaria
md4eyes,Wine is poetry in a bottle,united-states
sharon.schne,,united-states
d7e04daf03f2e0a807f0efc1e6a95dbf,Excitable around wine...WSET 3 dist :-),united-kingdom
d7d085a7eb2ba024557444d8b7254c59,,denmark
elias.ant1,,cyprus
rolf.stanley,,denmark
elias.hallak,,israel
d5e7d875347fa051c273fafd6295e4f9,,italy
elias.mab,,south-africa
elias.mie,,ireland
kirill-va,,russia
eliashh,,latvia
rolf.cho,"Life is short, no time to taste immature wines",hong-kong
eliezer.her,,puerto-rico
kevin.caughlin,,canada
darius.pautrat,"WSET 3 w/Distinction
IG: @darius_vs_wine",france
reghanc,,united-states
kelly.kruge,,united-states
micha.blu,,germany
micha.alexanders,,switzerland
davyn,,singapore
sally.lee5,,korea-south
dillon.whitmire,,united-states
dima-n1,,russia
dima-sik,without pathos,ukraine
sara.hobday,,united-kingdom
dima.lyganov,,ukraine
sara.hurtig,,sweden
dima.yashkir,,canada
dimadima1,,czech-republic
davinia.pirotta,,malta
dimeon.van-rooyen,,france
kelly.schafer,,canada
kelly.lees1,,united-kingdom
sally.whitm,,united-states
diego.pint,,netherlands
dawn-l1,,united-states
diego_no,Enthusiast more than a connoisseur. But loving wine is what matters in the end.,austria
michael-barrie1,,korea-south
sara-mcf,"Novice wine enthusiast. Love learning, especially the research!",canada
salvador-ap,,mexico
dawn.mcmillan,,united-states
michael-angelos,,netherlands
dawn.ly,,canada
michael-anc,People wait for an occation to drink a unique btlofwine-drinking a unique btl of wine is an occation,denmark
kelly.gilligan,,united-states
kelly.herr,,canada
michael.mclaughla,,united-kingdom
michael-alan.green,,united-states
dawn.chi,,united-states
michael.melone,,united-states
sally_johnson5,,united-states
dimitar-dobrev,,united-kingdom
davidwit0,Dream as if you'll live forever. Live as if you'll die today.,belgium
michael.nix2,,united-states
davidward18,,united-kingdom
michael.odw,,united-kingdom
davidmorris8,Just some random Aussie who has a passion for good wine!,australia
mic.,,sweden
kelly_joo,,portugal
davidmeyer26,,united-states
kelly_k2,,japan
dimitros.ivantsov,,poland
dimitry.vi,,canada
sara_collin,,canada
davidmarch2,,united-states
kelly_mos,,united-states
michael.okee,,united-states
dina-khan,,united-states
davidlowe16,,united-kingdom
sakarias.rantala,🍷🍾 ,finland
sara14,,united-states
davidobrien25,Italian or French and a lovely red TVR Griffith.,united-kingdom
dimitris-sko,Studying winemaking in France,greece
katie.malmay,,united-states
kelly.sua,"Red blends are best! I'm not an expert, I'll try any red once! Learning wine lingo! ",united-states
salina_w,,united-states
salim.bu,Palate building in progress..,united-states
davidteo1,Life is too short to drink bad wine,singapore
salih.k1,,united-kingdom
saleri.bach,,united-states
dimitri_g,Assistant Professor at Durham University,united-kingdom
davidpedersen,,denmark
davids.bejers,,latvia
davidroberts7,,united-kingdom
kelly_bec,,united-states
micael.apelhede,,sweden
dimitrios.stratakis,,greece
mica.jay,,united-states
diego_col,,brazil
sara-day.thomson,,united-kingdom
dina.aynetdinova,,russia
michael-diaz,,united-states
katja.ogrin,,slovenia
sanjeev.bh,,united-kingdom
katja-m,"A 15 year hospitality and F&B professional, and passionate wine lover and writer.",united-states
michael-dear,,united-states
dean-ros,,united-kingdom
dean-morr,,germany
sam-mof,,canada
sam-minn,,united-kingdom
diarmuid_c,,ireland
de9947e723512c397dbe79a24cf96e6a,,united-states
sam-martin4,,united-kingdom
michael.laschuk,,canada
sam-mab1,,united-kingdom
michael-cooney1,,ireland
ddoddo.eonga,,germany
katja.raj,,finland
diane_c8,,united-states
diego.parra-,"Wine-Situation-Perception
ig: theblogmx
🔜Page",mexico
dean.morrissey,,canada
sangyun_jeong,,korea-south
sangyup.park,,korea-south
deana.montgomery,,united-states
dean_wea,"Rifleman
Colour Serjeant 
Wine drinker
Wine reviewer 
Swift and Bold",united-kingdom
michael.kestad,,sweden
diane.patt,,united-kingdom
dean_barker,,united-kingdom
michael-dunn,Likes the odd glass of the grape!,united-kingdom
dean.ward5,,hungary
dean.vl,wine lover ...,croatia
diane.sam,"Certified foodie, wine lover and dilettante cook...",malta
diane.sumecek,,united-states
sanjay.an,,united-states
diane.wall,,united-states
sanjay.dmello,,portugal
dick.laughton,,united-states
dick.vdk,"Vin, Vino, Vinho, Oinos, Wein, Wine, Wijn, 酒   ",netherlands
dick.war,,canada
kelly-loz,,united-states
kelly-webe,,singapore
db091b3ec18238eb152c51af291a83da,,netherlands
kelly.b16,,canada
diego-vane,,colombia
daylonp,,canada
saph-m,,brunei-darussalam
daye_gim1,,korea-south
sam-ash,,united-kingdom
day.cho,,malaysia
michael.mazzel,,united-states
diego.iz,,united-states
sapna_n,,south-africa
dawson.h,,united-states
diego.martinoli,#CabernetFranc #Malbec #Bonarda #Merlot #zinfandel #Tannat #Torrontes,argentina
salverdor.alves,,latvia
diego-lauton.lauton,,spain
sam-chen11,,japan
diego-cri,,united-states
kelly-rose4,Make wine fun again #whysoserious,australia
dcassar,"40, Maltese, Radio & TV presenter, owner The Lodge Boutique Hotel & Venue",malta
michael.lindsey3,,united-states
dickon-t,,united-kingdom
dc81803b1f3e11c5f4f5d0bef7d4210b,Enthusiast,united-kingdom
diddic,,germany
sam-e,,norway
sam-dixon3,Just one of those people who unfortunately drinks the bottle instead of has a sip. ,united-kingdom
db5c5eb9618ed98377e60c494d033f38,"So many wines, so little time",germany
santiago.k1,,united-states
diederick.ve,,netherlands
dbbf65aea34ee6b1e3558e42493cd216,,united-states
diederik.be,Whine enthousiast!,netherlands
diederik.lo,,belgium
diederik_van-,,netherlands
sakari.sv,,finland
mia_bern,,canada
runar.sorgaard,,spain
sabrina.hooper,,united-states
sabrina.ahmad,,canada
sabrina-ye,,brunei-darussalam
diwakar.sharma,,germany
mh-park,,korea-south
katie-sz,,united-states
david_leahy1,,kenya
sarah.bailey1,,spain
david_kershaw2,,united-kingdom
david_jr,Always searching for the perfect Puilly Fume loads of smoke and petroleum is my quest,sweden
dkfilchev,,united-kingdom
dmitri-mar,,united-arab-emirates
dmitri-mih,,hungary
kempner.davis,,united-states
dmitri.enin,"Hospitality pro, wine aficionado, amateur sommelier",china
dmitri.kralik,,canada
sabrina.anand,,canada
michael.rabi-syrkin,,israel
mhlp_nowescw0o-pht0ymxq,,united-kingdom
david_moll,,ireland
david_robson9,,united-states
sacham,,canada
sacha.walters,,new-zealand
kelseys5,,united-states
sarah-serle,"Yes, I am the one that will play Everytime by Britney Spears in the crowded bar.",united-states
michael.pre,Never waste a day without drinking wine,united-states
david_passal,,canada
david_orr1,,united-kingdom
kelsie.moore,,canada
kelsie_johnson,,canada
dirk_broe,,germany
sabrina.wren,,united-states
katie.bird2,,united-states
sabrina.stransky,,south-africa
dirkchristiaens,,belgium
sarah.brooke2,,united-states
sarah.broom,,united-states
dmitrii-denisov2,,czech-republic
mgqd-u2zbrmicd17lflblyw,,united-states
dmitry-dorofeev,,russia
david_cannon,Wine and vodka drinker!!!!! Not in the same glass yet!,united-kingdom
s_m307,,united-states
michael.scherb,,ireland
katia-b5,,belgium
s_k510,,germany
ken-nav,,united-states
kati.we,,south-africa
sarah.finlay,,ireland
mg0zkdwtor4opajmr6saxfg,,united-states
sarah.flello,I’m new to wine but trying to learn everything I can and develop my palate ,canada
s_hyatt,,united-states
ken-taw,,singapore
david_anderson77,,canada
dmitry.bra,,germany
dmitriy_ve,,kyrgyzstan
dmitriy_smirnov1,,russia
katiaz1,,united-states
dmitrijs_k,,united-kingdom
sab.matsumoto,,united-states
saara.sahinoja,,finland
michael.sabbagh,,united-arab-emirates
dmitrij_y,,russia
ken-f,,japan
david_eck,,united-states
saagarm,,united-kingdom
ken-kat,,united-states
david_dix,,united-kingdom
david_dib,,united-states
david_de-f,"Wine lover.
Working for Champagne Louis Roederer.",france
dmitriy.erlick,,israel
david_crain,,united-states
s_s533,,poland
sachi-i,"ワイン大好きです。でも詳しくないのでVivinoに頼って、コツコツ記録してます。とにかく色んな品種を飲んでみたい。1,000~3,000円が対象です！",norway
katie.chi,Life is too short for bad wine,united-states
sak.ahmed,,united-kingdom
kelonc,,united-states
davide_righi,Desperate expat searching good wine at reasonable price in China ,italy
dinosn,Life is too short to drink bad wine,cyprus
kelsey-donahue,,united-states
kelsey-gallagher,Drinks wine. Knows nothing about wine.,united-states
dioexul,,russia
diogo-c2,,portugal
diogo-do,,spain
diogo-m,,brazil
kelsey.byers,,united-states
katie.gomb,,united-kingdom
saewoong.park,,korea-south
diogo_dom,"Electrical Engineer and musician .. love arts , music and wine",ireland
davidcotter1,,united-kingdom
kelsey.heath,,united-states
diogo_mal,,portugal
michael.pavan,,canada
dino.gri,,canada
dirk.de-me,,belgium
dino.gastaldello,"Wine lover,AIS Sommelier, dipWSET Student - Wine Rocket Experience 🚀",italy
katie.koene,,united-states
dina.ih,,united-states
dina.ole,,united-states
davidjones18,,netherlands
saito.ta,,japan
davidjackson1,blogging from Spain,spain
sarah-abbot,,united-states
katie.keel,,united-states
sailor.wino,,united-states
sarah-b28,,united-states
michael.osulliva,,united-kingdom
dinh.thanh,,viet-nam
kellysue,,united-states
sahil.patel3,,united-kingdom
katie.hoefer,,united-states
diogo_reb,Wine lover. Believe you can only learn about wine if you try lots of them,ireland
saerom-lee5,,korea-south
kelsey.joseph,,canada
katie.g2,,united-states
david_wildman,,united-kingdom
michael.pock,,austria
kelsey.shockey,,united-states
sadie.d,,united-states
mhsxtarnzry6yyrrjdv80mg,,japan
david_toda,"Wine lover since late 70s
Love all wines. 
Pinot Noir is choice.
Loves rare varietals",japan
dirk-meyer1,,south-africa
dirk-min,,belgium
sade.allcock,,south-africa
sarah-mcinerney,,ireland
dirk-pieterw,,netherlands
sacho.lacson,,philippines
sachiyo.yasunaga,,japan
david_simmo,,united-kingdom
sarah-phelps1,,united-states
dippyblonde.dippyblonde,Scottish teacher who likes to try new wines from many regions,united-kingdom
katie.dolan1,,united-kingdom
sarah-lant,"Tasting, sharing, and blogging about Midwestern grown wines in Lawrence, KS.",united-states
katie.forr,,united-kingdom
davidcarrion1,,spain
michael.pilo,,canada
davidburgess9,,australia
davidbull9,,united-states
dionam,,netherlands
sae-youngc,Bordeaux Lover,united-states
sadiqb,,united-kingdom
sadie.t,,united-states
davidbooth1,,united-kingdom
kelsey.mato,,united-states
davidberg14,"WSET 1 ✅️
WSET 2 ✅️",sweden
dionysis.morfis,,sweden
dionysius,,canada
katie.feng,,china
deanjones4,,united-kingdom
sam.brady,,canada
deanna-berg,,united-states
demetris.m,,cyprus
sandeepm,"An keen amateur wine drinker, practising hard",hong-kong
michael-sci,Attorney and wine lover. One balances the other.,united-states
delphine.mog,,switzerland
michael-schu,"Who wanna drink the same experience, when new exciting grapes are waiting out ",denmark
michael-schaf,WSETI,united-states
kay.os,,ireland
derek.morley,,united-kingdom
kay.neufeld,,united-kingdom
michael-russom,My names is Mike and I enjoy trying all different kine vines :),united-states
michael.defazio,,united-states
samantha-k.,,canada
sander.kal,Journalist @ classicquotes.com,estonia
michael.delory,,canada
deleted_1447187,Swedish winelover since 30 years,sweden
keith-davis2,,south-africa
demetri.s,,united-states
sandeep-des,,japan
michael-storr,,united-kingdom
sanda.salma,,latvia
deniaem,,united-states
samantha.lowenkron,,united-states
derek-parr,"Mainly drink red, lover of the new world wines",united-kingdom
deni.da,,united-states
denfe.chen-,,china
michael.corona,,united-states
kayla-walsh,,united-states
samantha.koon,,united-states
samantha.hartke,,united-states
den.kuz,,switzerland
sana.al,,united-states
derek.buck,,united-kingdom
demonb,,estonia
demiang,,brazil
derek.champ,,united-states
delene.moller,,south-africa
delene.l,,united-states
derek.smitt,,united-states
derek.ste,Wine bottles are just a fancy way of shipping cork all over the world.,canada
keith-pritc,,united-kingdom
kay-k8,,lithuania
deepak.m,,panama
michael.domsodi,,canada
deepa.pardasani,,united-kingdom
michael-out,,united-kingdom
kawkiar,,canada
derrick-lau2,,singapore
deena.ko,,united-states
sandor.margittai,,united-states
sandor.rajnai,,hungary
keith-yu2,,hong-kong
deejees,,south-africa
derrick-wei,,united-kingdom
derrick.on,,malaysia
sam_ricc,Just ‘a guy’ who loves wine!!,canada
sandi_tr,,united-states
dermot.burns,,united-kingdom
sander_den-,,netherlands
delaney.b1,,united-states
keith-horrocks,,united-states
derek_g1,,united-states
dejan_ba,Don't drink wines! Enjoy them,republic-of-serbia
keith-i,Keen wine drinker who would like to learn ,united-kingdom
derek_in,,canada
sander_jans,,netherlands
michael.dirksen,,united-states
keith-kirc,,united-states
derek_tho,,south-africa
kay-re,,united-states
derflop,,germany
dehjh,,united-states
michael-perkin,,united-kingdom
denice.lim,,singapore
denis-le,,russia
katri.va,,finland
dennis.dk,,canada
dennis.fle,Stumbling across the world of wines one bottle at a time.,united-states
dennis.hass,,united-states
sami.barqawi,,united-arab-emirates
denise.schleich,,united-states
denise.miln,,united-kingdom
dennis.o-hagan,,united-states
kedar-kumthekar,,united-kingdom
dennis.shepitka,,canada
denise.cudney,"WSET L2 w/distinction 
Instagram FUN @screw_it_wine_stuff",canada
denise.c9,,united-states
samuel.altschul,,denmark
michael.calam,,united-states
dennis_bartl,,united-states
kayleigh.rundell,,united-kingdom
samuel.dolt,,united-kingdom
dennis.esk,"I cook with wine, sometimes I even add it to the food. 
- W. C. Fields",denmark
denisk0,,united-kingdom
keiichi.miy,,japan
denislava.krumova,Unleashing my inner wine lover 🍷 Developing my new passion and hobby ❤️,bulgaria
dennis-lour,Im the illegitimate love-child of Strategy & Creativity. Neither parent admits 2 it.,united-states
kba.baumann,,germany
dennis-olsson,"Former chef with a love for Ribera, champagne, nebbiolo and much more!",sweden
dennis-fant,,united-kingdom
samir.naz,,united-states
dennis-wiem,,netherlands
dennis-1,,netherlands
deniza.kulaxazova,,bulgaria
michael.barkh,,netherlands
deniz.pekee,,switzerland
dennis.avorin,,sweden
dennis.baie,,united-states
samijaas,,israel
kchowne,@kyachtic,united-states
denisrasulev,Presumably human,slovak-republic
dennis_el,,united-states
dennis_graham,,united-kingdom
denis_ig,,ukraine
keel.li,,canada
denys.tsom,,ukraine
denis.gorvat,When in doubt - drink,russia
kees.oos,Life is to short to drink shitty ,netherlands
samantha.smart,,united-kingdom
